SD_CD,SD_NM,SGG_CD,SGG_NM,EMD_CD,EMD_NM,HJD_CD,USER_DROUG,Shape_Leng,POPCNT,SUPLPPCNT,SUPLPER,STNYEAR,USE1M,USE2M,USE3M,USE4M,USE5M,USE6M,USE7M,USE8M,USE9M,USE10M,USE11M,USE12M,LPCD,WATER1DVNM,WATER1_sou,WATER1NM,WATER1CD,INTAKE1NM,INTAKE1CD,FILTER1NM,FILTER1CD,RESERV1NM,RESERV1CD,LOCAL_DVNA,WSPSYS1CD,Shape_Le_1,Shape_Area
27,대구광역시,27230,북구,27230680,검단동,2723068000,,8633.731621,6939,6939,1,2020,72470,72575,71951,70082,71807,71043,76917,77890,83755,84060,79135,76013,357,저수지(지자체),저수지(지자체),공산댐,2012220,공산댐취수장,2015006580,공산정수장,2015006583,연암배수지,2015006551,지방,2700rs02,8633.731621,3841995.105
27,대구광역시,27230,북구,27230695,무태조야동,2723069500,,27553.08748,36884,36884,1,2020,226544,227597,221751,221223,229450,244649,271567,277564,292442,291286,287124,287212,228,댐(K-water),용수댐,운문댐,2021210,운문댐,2021210,고산정수장(지방),2017900040,고산배수지,2017900054,지방,2700rs04,27553.08748,22913632.04
27,대구광역시,27230,북구,27230735,태전2동,2723073500,,7653.46464,25205,25205,1,2020,207393,200316,198743,200516,198522,201221,216750,219081,226230,227771,219519,216657,275,댐(K-water),다목적댐,안동댐,2001110,문산취수장,2015007238,문산정수장,2017900041,부곡배수지,2017900065,지방,2700rs05,7653.46464,2021292.613
26,부산광역시,26470,연제구,26470610,거제1동,2647061000,,5854.952798,29772,29772,1,2020,247680,177892,229946,185530,241837,195099,270080,201967,283134,193954,259578,178485,245,댐(K-water),다목적댐,안동댐,2001110,물금취수장,2015006454,화명정수장,2015006457,오륜배수지,2015007622,지방,2600rs03,5854.952798,1301030.087
26,부산광역시,26470,연제구,26470620,거제2동,2647062000,,7115.936523,12623,12623,1,2020,123438,95758,112218,90101,112395,97235,129373,105385,133102,96278,123020,97153,285,댐(K-water),다목적댐,안동댐,2001110,물금취수장,2015006454,화명정수장,2015006457,오륜배수지,2015007622,지방,2600rs03,7115.936523,1866149.243
26,부산광역시,26470,연제구,26470630,거제3동,2647063000,,4050.857657,10256,10256,1,2020,103344,50010,96418,52000,104279,48300,111714,53186,116913,50479,106580,49779,251,하천,하굿둑,낙동강하굿둑,2022510,매리취수장,2015006452,덕산정수장(생활),2015006455,,990001,지방,2600rs01,4050.857657,528674.5571
26,부산광역시,26410,금정구,26410591,부곡4동,2641059100,,3842.826979,13356,13356,1,2020,120159,71801,115541,73964,123152,73741,127393,76394,135012,72138,128690,71553,243,댐(K-water),다목적댐,안동댐,2001110,물금취수장,2015006454,화명정수장,2015006457,오륜배수지,2015007622,지방,2600rs03,3842.826979,488412.8488
26,부산광역시,26410,금정구,26410600,장전1동,2641060000,,8761.966126,19347,19347,1,2020,55964,229761,53602,221174,55377,227882,59700,256909,60990,245801,55674,238891,249,댐(K-water),다목적댐,안동댐,2001110,물금취수장,2015006454,화명정수장,2015006457,오륜배수지,2015007622,지방,2600rs03,8761.966126,2463434.338
27,대구광역시,27170,서구,27170580,비산4동,2717058000,,2858.816187,9998,9998,1,2020,22797,116164,22034,118276,19394,124224,21553,133242,22722,135370,22436,127517,242,댐(K-water),다목적댐,안동댐,2001110,매곡취수장,2015006579,매곡정수장,2015006582,매곡배수지,2015006585,지방,2700rs01,2858.816187,410493.979
27,대구광역시,27170,서구,27170590,비산5동,2717059000,,2732.915282,6457,6457,1,2020,15579,84428,15331,87753,10834,88727,12303,94288,13527,95497,13280,88536,262,댐(K-water),다목적댐,안동댐,2001110,매곡취수장,2015006579,매곡정수장,2015006582,매곡배수지,2015006585,지방,2700rs01,2732.915282,341873.3941
27,대구광역시,27170,서구,27170600,비산6동,2717060000,,2457.082596,7844,7844,1,2020,94681,8195,94628,7391,96586,7021,105534,7765,110418,7439,108464,7272,228,댐(K-water),다목적댐,안동댐,2001110,매곡취수장,2015006579,매곡정수장,2015006582,매곡배수지,2015006585,지방,2700rs01,2457.082596,276302.6191
27,대구광역시,27230,북구,27230715,관문동,2723071500,,22490.47575,37512,37512,1,2020,285621,284638,281138,287407,282730,286424,307767,306252,313191,311811,301740,297089,258,댐(K-water),다목적댐,안동댐,2001110,문산취수장,2015007238,문산정수장,2017900041,부곡배수지,2017900065,지방,2700rs05,22490.47575,14699109.76
27,대구광역시,27230,북구,27230770,읍내동,2723077000,,14593.0274,27053,27053,1,2020,215550,209950,211319,210405,213971,214050,233294,228195,243955,243394,232263,226732,271,댐(K-water),다목적댐,안동댐,2001110,문산취수장,2015007238,문산정수장,2017900041,부곡배수지,2017900065,지방,2700rs05,14593.0274,5914365.361
27,대구광역시,27230,북구,27230750,관음동,2723075000,,8178.029653,17265,17265,1,2020,131567,131552,128512,127708,130898,131445,141688,139349,147217,149856,137852,138201,259,댐(K-water),다목적댐,안동댐,2001110,문산취수장,2015007238,문산정수장,2017900041,부곡배수지,2017900065,지방,2700rs05,8178.029653,2994853.748
26,부산광역시,26470,연제구,26470640,거제4동,2647064000,,4170.529419,10805,10805,1,2020,93019,46887,89379,47071,94017,48369,100255,49013,104413,48503,98827,46696,219,댐(K-water),다목적댐,안동댐,2001110,물금취수장,2015006454,화명정수장,2015006457,거제배수지,2015006470,지방,2600rs03,4170.529419,552955.9152
26,부산광역시,26470,연제구,26470650,연산1동,2647065000,,4795.745875,16528,16528,1,2020,99563,166754,92412,158561,88236,165634,97686,184511,97083,169532,93840,165332,261,댐(K-water),다목적댐,안동댐,2001110,물금취수장,2015006454,화명정수장,2015006457,,990001,지방,2600rs03,4795.745875,775988.4262
26,부산광역시,26470,연제구,26470660,연산2동,2647066000,,7188.038135,21015,21015,1,2020,170849,101038,163185,104401,175635,115632,189560,118809,212624,122508,200419,121389,234,댐(K-water),다목적댐,안동댐,2001110,물금취수장,2015006454,화명정수장,2015006457,,990001,지방,2600rs03,7188.038135,1160019.024
26,부산광역시,26410,금정구,26410635,선두구동,2641063500,,18116.11514,2403,2403,1,2020,18246,39656,19318,35705,16496,34143,19864,45063,19734,44965,14530,42343,398,저수지(지자체),저수지(지자체),법기댐,264101,법기취수장,2015007246,범어사정수장,2015007247,,990001,지방,2600rs04,18116.11514,12094376.67
26,부산광역시,26410,금정구,26410665,청룡노포동,2641066500,,16689.91221,10151,10151,1,2020,53306,118835,48296,116645,49851,150545,52303,155162,53382,136065,51783,152114,306,댐(K-water),다목적댐,안동댐,2001110,물금취수장,2015006454,화명정수장,2015006457,남산배수지,2015006474,지방,2600rs03,16689.91221,11005798.59
27,대구광역시,27170,서구,27170610,비산7동,2717061000,,8139.733853,11695,11695,1,2020,67289,218332,67521,224648,63546,227055,65779,250182,70589,257404,66810,239055,425,댐(K-water),다목적댐,안동댐,2001110,매곡취수장,2015006579,매곡정수장,2015006582,매곡배수지,2015006585,지방,2700rs01,8139.733853,2853560.902
27,대구광역시,27170,서구,27170620,평리1동,2717062000,,2797.984465,7970,7970,1,2020,98416,8947,95080,8474,95933,8778,104121,8852,110227,8471,104744,8865,227,댐(K-water),다목적댐,안동댐,2001110,매곡취수장,2015006579,매곡정수장,2015006582,매곡배수지,2015006585,지방,2700rs01,2797.984465,385137.1169
27,대구광역시,27170,서구,27170630,평리2동,2717063000,,2159.253577,8125,8125,1,2020,31524,80755,31112,83898,31629,85655,32017,91294,32071,92842,31469,88246,240,댐(K-water),다목적댐,안동댐,2001110,매곡취수장,2015006579,매곡정수장,2015006582,매곡배수지,2015006585,지방,2700rs01,2159.253577,290776.2278
27,대구광역시,27170,서구,27170640,평리3동,2717064000,,3668.860997,10110,10110,1,2020,147193,25755,145981,23558,144061,21891,161137,25855,167931,26167,163393,25705,292,댐(K-water),다목적댐,안동댐,2001110,매곡취수장,2015006579,매곡정수장,2015006582,매곡배수지,2015006585,지방,2700rs01,3668.860997,784571.9252
27,대구광역시,27230,북구,27230725,태전1동,2723072500,,7933.030338,22542,22542,1,2020,201059,199001,185511,180434,179320,181712,202470,201978,203095,208407,207585,206254,286,댐(K-water),다목적댐,안동댐,2001110,문산취수장,2015007238,문산정수장,2017900041,부곡배수지,2017900065,지방,2700rs05,7933.030338,2433974.536
